variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,temporal_agg_type,spatial_agg_type,min,max,file_size,file_name
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,0.5,mean,mean,269.8,304.51,20.64,sea_surface_temperature_t1_s1_Y_1736976561839_mean_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,0.5,mean,min,269.8,304.51,20.0,sea_surface_temperature_t1_s1_Y_1736976561839_mean_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,0.5,mean,max,269.8,304.51,20.09,sea_surface_temperature_t1_s1_Y_1736976561839_mean_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,1.0,mean,mean,270.21,304.51,5.78,sea_surface_temperature_t1_s2_Y_1736976561839_mean_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,1.0,mean,min,269.8,304.51,5.2,sea_surface_temperature_t1_s2_Y_1736976561839_mean_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,1.0,mean,max,270.36,304.51,5.17,sea_surface_temperature_t1_s2_Y_1736976561839_mean_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,0.5,min,mean,269.8,302.36,17.83,sea_surface_temperature_t1_s1_Y_1736976561839_min_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,0.5,min,min,269.8,302.36,17.0,sea_surface_temperature_t1_s1_Y_1736976561839_min_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,0.5,min,max,269.8,302.36,17.14,sea_surface_temperature_t1_s1_Y_1736976561839_min_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,1.0,min,mean,270.21,302.36,5.52,sea_surface_temperature_t1_s2_Y_1736976561839_min_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,1.0,min,min,269.8,302.36,4.39,sea_surface_temperature_t1_s2_Y_1736976561839_min_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,1.0,min,max,270.36,302.36,4.64,sea_surface_temperature_t1_s2_Y_1736976561839_min_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,0.5,max,mean,269.8,307.22,17.97,sea_surface_temperature_t1_s1_Y_1736976561839_max_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,0.5,max,min,269.8,307.22,16.56,sea_surface_temperature_t1_s1_Y_1736976561839_max_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,0.5,max,max,269.8,307.22,17.11,sea_surface_temperature_t1_s1_Y_1736976561839_max_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,1.0,max,mean,270.21,307.22,5.59,sea_surface_temperature_t1_s2_Y_1736976561839_max_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,1.0,max,min,269.8,307.22,4.59,sea_surface_temperature_t1_s2_Y_1736976561839_max_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,D,1.0,max,max,270.36,307.22,4.61,sea_surface_temperature_t1_s2_Y_1736976561839_max_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,0.5,mean,mean,270.4,298.68,0.65,sea_surface_temperature_t2_s1_Y_1736976561839_mean_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,0.5,mean,min,270.4,298.68,0.64,sea_surface_temperature_t2_s1_Y_1736976561839_mean_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,0.5,mean,max,270.4,298.68,0.64,sea_surface_temperature_t2_s1_Y_1736976561839_mean_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,1.0,mean,mean,271.25,298.68,0.22,sea_surface_temperature_t2_s2_Y_1736976561839_mean_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,1.0,mean,min,270.4,298.68,0.21,sea_surface_temperature_t2_s2_Y_1736976561839_mean_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,1.0,mean,max,271.26,298.68,0.22,sea_surface_temperature_t2_s2_Y_1736976561839_mean_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,0.5,min,mean,269.8,294.18,0.56,sea_surface_temperature_t2_s1_Y_1736976561839_min_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,0.5,min,min,269.8,294.18,0.53,sea_surface_temperature_t2_s1_Y_1736976561839_min_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,0.5,min,max,269.8,294.18,0.51,sea_surface_temperature_t2_s1_Y_1736976561839_min_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,1.0,min,mean,270.21,294.18,0.2,sea_surface_temperature_t2_s2_Y_1736976561839_min_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,1.0,min,min,269.8,294.18,0.18,sea_surface_temperature_t2_s2_Y_1736976561839_min_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,1.0,min,max,270.36,294.18,0.18,sea_surface_temperature_t2_s2_Y_1736976561839_min_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,0.5,max,mean,271.0,307.22,0.65,sea_surface_temperature_t2_s1_Y_1736976561839_max_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,0.5,max,min,271.0,307.22,0.61,sea_surface_temperature_t2_s1_Y_1736976561839_max_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,0.5,max,max,271.0,307.22,0.58,sea_surface_temperature_t2_s1_Y_1736976561839_max_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,1.0,max,mean,271.46,307.22,0.23,sea_surface_temperature_t2_s2_Y_1736976561839_max_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,1.0,max,min,271.0,307.22,0.21,sea_surface_temperature_t2_s2_Y_1736976561839_max_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,M,1.0,max,max,271.46,307.22,0.2,sea_surface_temperature_t2_s2_Y_1736976561839_max_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,0.5,mean,mean,271.46,284.4,0.09,sea_surface_temperature_t3_s1_Y_1736976561839_mean_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,0.5,mean,min,271.46,284.35,0.09,sea_surface_temperature_t3_s1_Y_1736976561839_mean_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,0.5,mean,max,271.46,284.48,0.09,sea_surface_temperature_t3_s1_Y_1736976561839_mean_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,1.0,mean,mean,271.46,284.3,0.04,sea_surface_temperature_t3_s2_Y_1736976561839_mean_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,1.0,mean,min,271.46,284.1,0.04,sea_surface_temperature_t3_s2_Y_1736976561839_mean_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,1.0,mean,max,271.46,284.48,0.04,sea_surface_temperature_t3_s2_Y_1736976561839_mean_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,0.5,min,mean,269.8,280.73,0.07,sea_surface_temperature_t3_s1_Y_1736976561839_min_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,0.5,min,min,269.8,280.72,0.06,sea_surface_temperature_t3_s1_Y_1736976561839_min_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,0.5,min,max,269.8,280.88,0.06,sea_surface_temperature_t3_s1_Y_1736976561839_min_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,1.0,min,mean,270.21,280.58,0.04,sea_surface_temperature_t3_s2_Y_1736976561839_min_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,1.0,min,min,269.8,280.29,0.04,sea_surface_temperature_t3_s2_Y_1736976561839_min_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,1.0,min,max,270.36,280.88,0.03,sea_surface_temperature_t3_s2_Y_1736976561839_min_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,0.5,max,mean,271.46,307.22,0.1,sea_surface_temperature_t3_s1_Y_1736976561839_max_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,0.5,max,min,271.46,307.22,0.1,sea_surface_temperature_t3_s1_Y_1736976561839_max_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,0.5,max,max,271.46,307.22,0.09,sea_surface_temperature_t3_s1_Y_1736976561839_max_max.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,1.0,max,mean,271.46,307.22,0.05,sea_surface_temperature_t3_s2_Y_1736976561839_max_mean.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,1.0,max,min,271.46,307.22,0.05,sea_surface_temperature_t3_s2_Y_1736976561839_max_min.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,Y,1.0,max,max,271.46,307.22,0.04,sea_surface_temperature_t3_s2_Y_1736976561839_max_max.nc