variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,temporal_agg_type,spatial_agg_type,min,max,file_size,file_name
2m_temperature,-70,-90,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,mean,mean,216.83,268.71,0.11,2m_temperature_t1_s1_1736334576094_mean_mean.nc
2m_temperature,-70,-90,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,mean,min,216.55,268.37,0.11,2m_temperature_t1_s1_1736334576094_mean_min.nc
2m_temperature,-70,-90,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,mean,max,217.27,269.07,0.11,2m_temperature_t1_s1_1736334576094_mean_max.nc
2m_temperature,-70,-90,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,min,mean,190.92,252.96,0.11,2m_temperature_t1_s1_1736334576094_min_mean.nc
2m_temperature,-70,-90,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,min,min,189.09,252.63,0.11,2m_temperature_t1_s1_1736334576094_min_min.nc
2m_temperature,-70,-90,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,min,max,191.89,253.52,0.11,2m_temperature_t1_s1_1736334576094_min_max.nc
2m_temperature,-70,-90,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,max,mean,241.75,277.67,0.1,2m_temperature_t1_s1_1736334576094_max_mean.nc
2m_temperature,-70,-90,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,max,min,241.45,277.33,0.1,2m_temperature_t1_s1_1736334576094_max_min.nc
2m_temperature,-70,-90,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,max,max,241.95,278.51,0.1,2m_temperature_t1_s1_1736334576094_max_max.nc
2m_temperature,90,40,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,mean,mean,241.85,291.3,0.21,2m_temperature_t1_s1_1736319787894_mean_mean.nc
2m_temperature,90,40,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,mean,min,241.73,291.14,0.22,2m_temperature_t1_s1_1736319787894_mean_min.nc
2m_temperature,90,40,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,mean,max,241.96,291.84,0.21,2m_temperature_t1_s1_1736319787894_mean_max.nc
2m_temperature,90,40,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,min,mean,212.59,284.41,0.23,2m_temperature_t1_s1_1736319787894_min_mean.nc
2m_temperature,90,40,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,min,min,212.17,284.29,0.23,2m_temperature_t1_s1_1736319787894_min_min.nc
2m_temperature,90,40,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,min,max,213.14,284.59,0.23,2m_temperature_t1_s1_1736319787894_min_max.nc
2m_temperature,90,40,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,max,mean,266.3,319.98,0.22,2m_temperature_t1_s1_1736319787894_max_mean.nc
2m_temperature,90,40,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,max,min,266.05,319.7,0.21,2m_temperature_t1_s1_1736319787894_max_min.nc
2m_temperature,90,40,180,-180,1940-01-01T00:00,1944-12-31T23:00,Y,1.0,max,max,266.46,321.88,0.21,2m_temperature_t1_s1_1736319787894_max_max.nc
2m_temperature,-70,-90,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,mean,mean,217.32,267.2,0.11,2m_temperature_t1_s1_1736362533939_mean_mean.nc
2m_temperature,-70,-90,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,mean,min,216.97,266.87,0.11,2m_temperature_t1_s1_1736362533939_mean_min.nc
2m_temperature,-70,-90,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,mean,max,217.68,267.54,0.11,2m_temperature_t1_s1_1736362533939_mean_max.nc
2m_temperature,-70,-90,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,min,mean,191.28,250.45,0.11,2m_temperature_t1_s1_1736362533939_min_mean.nc
2m_temperature,-70,-90,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,min,min,190.24,250.11,0.11,2m_temperature_t1_s1_1736362533939_min_min.nc
2m_temperature,-70,-90,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,min,max,191.92,250.81,0.11,2m_temperature_t1_s1_1736362533939_min_max.nc
2m_temperature,-70,-90,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,max,mean,245.78,277.21,0.1,2m_temperature_t1_s1_1736362533939_max_mean.nc
2m_temperature,-70,-90,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,max,min,245.36,275.99,0.1,2m_temperature_t1_s1_1736362533939_max_min.nc
2m_temperature,-70,-90,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,max,max,245.94,279.48,0.1,2m_temperature_t1_s1_1736362533939_max_max.nc
2m_temperature,90,40,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,mean,mean,243.09,291.33,0.21,2m_temperature_t1_s1_1736344205223_mean_mean.nc
2m_temperature,90,40,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,mean,min,242.95,291.11,0.22,2m_temperature_t1_s1_1736344205223_mean_min.nc
2m_temperature,90,40,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,mean,max,243.18,291.57,0.21,2m_temperature_t1_s1_1736344205223_mean_max.nc
2m_temperature,90,40,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,min,mean,210.69,283.84,0.24,2m_temperature_t1_s1_1736344205223_min_mean.nc
2m_temperature,90,40,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,min,min,209.84,283.62,0.23,2m_temperature_t1_s1_1736344205223_min_min.nc
2m_temperature,90,40,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,min,max,211.5,284.25,0.23,2m_temperature_t1_s1_1736344205223_min_max.nc
2m_temperature,90,40,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,max,mean,266.42,318.28,0.22,2m_temperature_t1_s1_1736344205223_max_mean.nc
2m_temperature,90,40,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,max,min,266.14,317.95,0.21,2m_temperature_t1_s1_1736344205223_max_min.nc
2m_temperature,90,40,180,-180,1945-01-01T00:00,1949-12-31T23:00,Y,1.0,max,max,266.7,320.1,0.21,2m_temperature_t1_s1_1736344205223_max_max.nc
2m_temperature,-70,-90,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,mean,mean,216.56,267.15,0.11,2m_temperature_t1_s1_1736416033637_mean_mean.nc
2m_temperature,-70,-90,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,mean,min,216.27,266.86,0.11,2m_temperature_t1_s1_1736416033637_mean_min.nc
2m_temperature,-70,-90,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,mean,max,216.85,267.45,0.11,2m_temperature_t1_s1_1736416033637_mean_max.nc
2m_temperature,-70,-90,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,min,mean,189.49,250.67,0.11,2m_temperature_t1_s1_1736416033637_min_mean.nc
2m_temperature,-70,-90,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,min,min,188.15,249.99,0.1,2m_temperature_t1_s1_1736416033637_min_min.nc
2m_temperature,-70,-90,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,min,max,190.71,252.08,0.11,2m_temperature_t1_s1_1736416033637_min_max.nc
2m_temperature,-70,-90,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,max,mean,242.54,276.42,0.1,2m_temperature_t1_s1_1736416033637_max_mean.nc
2m_temperature,-70,-90,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,max,min,242.37,276.01,0.1,2m_temperature_t1_s1_1736416033637_max_min.nc
2m_temperature,-70,-90,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,max,max,242.67,277.27,0.1,2m_temperature_t1_s1_1736416033637_max_max.nc
2m_temperature,90,40,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,mean,mean,243.45,291.42,0.21,2m_temperature_t1_s1_1736378250232_mean_mean.nc
2m_temperature,90,40,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,mean,min,243.28,291.21,0.22,2m_temperature_t1_s1_1736378250232_mean_min.nc
2m_temperature,90,40,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,mean,max,243.64,291.76,0.21,2m_temperature_t1_s1_1736378250232_mean_max.nc
2m_temperature,90,40,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,min,mean,209.72,283.88,0.24,2m_temperature_t1_s1_1736378250232_min_mean.nc
2m_temperature,90,40,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,min,min,207.91,283.57,0.23,2m_temperature_t1_s1_1736378250232_min_min.nc
2m_temperature,90,40,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,min,max,210.91,284.22,0.23,2m_temperature_t1_s1_1736378250232_min_max.nc
2m_temperature,90,40,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,max,mean,266.74,318.39,0.22,2m_temperature_t1_s1_1736378250232_max_mean.nc
2m_temperature,90,40,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,max,min,266.35,317.58,0.21,2m_temperature_t1_s1_1736378250232_max_min.nc
2m_temperature,90,40,180,-180,1950-01-01T00:00,1954-12-31T23:00,Y,1.0,max,max,267.14,321.37,0.21,2m_temperature_t1_s1_1736378250232_max_max.nc
2m_temperature,-70,-90,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,mean,mean,217.56,267.5,0.11,2m_temperature_t1_s1_1736469490474_mean_mean.nc
2m_temperature,-70,-90,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,mean,min,217.31,267.15,0.11,2m_temperature_t1_s1_1736469490474_mean_min.nc
2m_temperature,-70,-90,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,mean,max,217.96,267.82,0.11,2m_temperature_t1_s1_1736469490474_mean_max.nc
2m_temperature,-70,-90,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,min,mean,191.24,250.78,0.11,2m_temperature_t1_s1_1736469490474_min_mean.nc
2m_temperature,-70,-90,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,min,min,190.02,250.71,0.1,2m_temperature_t1_s1_1736469490474_min_min.nc
2m_temperature,-70,-90,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,min,max,191.82,251.12,0.11,2m_temperature_t1_s1_1736469490474_min_max.nc
2m_temperature,-70,-90,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,max,mean,242.8,278.23,0.1,2m_temperature_t1_s1_1736469490474_max_mean.nc
2m_temperature,-70,-90,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,max,min,242.6,277.59,0.1,2m_temperature_t1_s1_1736469490474_max_min.nc
2m_temperature,-70,-90,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,max,max,243.15,279.15,0.1,2m_temperature_t1_s1_1736469490474_max_max.nc
